OP;Ref;Coleccion;UndProg;UndCort;FechaCorte;Estado de integracion;Bodega Despacho;InvPlanta;NombrePlanta;FSalidaConf;FEntregaConf;Proceso;InvBPT;Saldo BPT;Descripcion;Cuento;Genero;Tipo Tejido; pvp ; TEMPLO DE LA MODA ; BARRANCA ; VALOR FACTURACION  
5526;U23863;LINEA UNIVERSO;402;348;10/04/2026;No;0;0;;;;;0;348;PANTALONETAS;DEPORTIVO;HOMBRE;PLANO; $ 47.990 ; $ 22.991 ; $ 20.324 ; $ 7.722.433 
5527;S11155;MODA UNIVERSO 2026 1;405;486;22/03/2026;No;0;486;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;486;SHORT;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5528;S11155;MODA UNIVERSO 2026 1;570;668;22/03/2026;No;0;668;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;668;SHORT;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5529;S11156;MODA UNIVERSO 2026 1;480;758;24/03/2026;No;0;758;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;758;BERMUDAS;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5530;S11156;MODA UNIVERSO 2026 1;495;585;25/03/2026;No;0;585;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;585;BERMUDAS;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5531;MB0388;MODA UNIVERSO 2026 1;1.105;1.105;10/04/2026;No;0;0;;;;;0;1.105;BLUSAS PROMOCION;MODAFRESCA;DAMA;PUNTO; $ 26.990 ; $ 12.711 ; $ 11.237 ; $ 13.557.024 
5532;S11157;MODA UNIVERSO 2026 1;495;620;22/03/2026;No;0;620;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;620;SHORT;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5533;S11157;MODA UNIVERSO 2026 1;495;624;24/03/2026;No;0;624;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;624;SHORT;ESPECIALES;DAMA;NA; $ - ; $ -   ; $ -   ; $ -   
5534;MB0388;MODA UNIVERSO 2026 1;377;377;10/04/2026;Ok;377;0;;;;;0;377;BLUSAS PROMOCION;MODAFRESCA;DAMA;PUNTO; $ 26.990 ; $ 12.711 ; $ 11.237 ; $ 4.625.338 
5535;808562;LINEA UNIVERSO;324;0;;No;0;0;;;;;0;0;BUSOS;BASICO;DAMA;PUNTO; $ 49.900 ; $ 18.017 ; $ 15.927 ; $ -   
5537;U24537;MODA UNIVERSO 2026 1;301;301;26/03/2026;No;0;301;SALAZAR IQUIRA AYDI YORNELY;07-abr-26;15-abr-26;CONFECCION;0;301;BLUSAS;DEPORTIVO;DAMA;NA; $ 26.990 ; $ 10.290 ; $ 9.096 ; $ 2.989.472 
5538;U24536;MODA UNIVERSO 2026 1;323;322;26/03/2026;No;0;322;CUBILLOS ALBA MARLENI;07-abr-26;22-abr-26;CONFECCION;0;322;CAMISETAS;DEPORTIVO;DAMA;NA; $ 24.990 ; $ 10.757 ; $ 9.509 ; $ 3.343.197 
5539;U24527;MODA UNIVERSO 2026 1;224;231;26/03/2026;No;0;231;ESCOBAR SERNA ALEJANDRA;07-abr-26;24-abr-26;CONFECCION;0;231;CAMISETAS;DEPORTIVO;DAMA;NA; $ 28.990 ; $ 12.757 ; $ 11.277 ; $ 2.844.303 
5540;U24505;MODA UNIVERSO 2026 1;396;420;26/03/2026;No;0;420;ANGULO HURTADO YESENIA;07-abr-26;16-abr-26;CONFECCION;0;420;BLUSAS;DEPORTIVO;DAMA;NA; $ 19.990 ; $ 8.604 ; $ 7.606 ; $ 3.487.932 
5541;U24487;MODA UNIVERSO 2026 1;343;187;30/03/2026;No;0;187;RAMOS PARRA CLARA INES;08-abr-26;23-abr-26;CONFECCION;0;187;CAMISETAS;DEPORTIVO;HOMBRE;NA; $ 36.990 ; $ 16.004 ; $ 14.148 ; $ 2.888.626 
5542;U24542;MODA UNIVERSO 2026 1;140;182;27/03/2026;No;0;0;;;;;0;182;CONJUNTOS;DEPORTIVO;DAMA;NA; $ 49.990 ; $ 22.964 ; $ 20.300 ; $ 4.033.994 
5543;U24498;MODA UNIVERSO 2026 1;497;539;30/03/2026;No;0;539;CAICEDO BALANTA MARIA LAIXA;10-abr-26;30-abr-26;CONFECCION;0;539;CAMISILLA;DEPORTIVO;HOMBRE;NA; $ 27.990 ; $ 11.605 ; $ 10.259 ; $ 6.037.447 
5544;U24588;MODA UNIVERSO 2026 1;371;308;30/03/2026;No;0;308;RICO TORRES DIANAMILE;08-abr-26;22-abr-26;CONFECCION;0;308;CAMISETAS;DEPORTIVO;HOMBRE;NA; $ 36.990 ; $ 15.984 ; $ 14.130 ; $ 4.751.762 
5545;U24560;MODA UNIVERSO 2026 1;364;350;27/03/2026;No;0;350;GUZMAN MORALES LINA MARCELA;14-abr-26;23-abr-26;CONFECCION;0;350;CAMISETAS;DEPORTIVO;HOMBRE;NA; $ 34.990 ; $ 14.472 ; $ 12.794 ; $ 4.889.010 
5546;U24575;MODA UNIVERSO 2026 1;348;288;30/03/2026;No;0;288;LOZANO CUERO CLAUDIA PATRICIA;10-abr-26;24-abr-26;CONFECCION;0;288;BUSOS;DEPORTIVO;HOMBRE;NA; $ 37.990 ; $ 16.436 ; $ 14.529 ; $ 4.568.803 
5547;MB7709;MODA UNIVERSO 2026 1;195;185;22/03/2026;No;0;185;CARDENAS HERRERA LEIDY YOHANNA;25-mar-26;24-abr-26;CONFECCION;0;185;BLUSAS;MODAFRESCA;DAMA;NA; $ 39.990 ; $ 15.683 ; $ 13.864 ; $ 2.800.401 
5548;D21420;LINEA UNIVERSO;388;287;27/03/2026;No;0;0;;;;;0;287;PANTALONETAS;DEPORTIVO;HOMBRE;NA; $ 45.990 ; $ 16.962 ; $ 14.994 ; $ 4.698.649 
5549;D21396;MODA UNIVERSO 2026 1;406;357;28/03/2026;Ok;357;0;;;;;0;357;PANTALONETAS;DEPORTIVO;HOMBRE;NA; $ 45.990 ; $ 17.127 ; $ 15.140 ; $ 5.901.531 
5550;D21077;LINEA UNIVERSO;406;343;31/03/2026;Ok;343;0;;;;;0;343;PANTALONETAS;DEPORTIVO;HOMBRE;PLANO; $ 37.990 ; $ 16.029 ; $ 14.170 ; $ 5.306.656 
5551;DD0001;LINEA UNIVERSO;380;413;25/03/2026;No;0;413;HERNANDEZ RAMIREZ NATIA GINARY;26-mar-26;26-mar-26;CONFECCION;0;413;PANTALONETA PROMOCIO;DEPORTIVO;HOMBRE;PLANO; $ 39.990 ; $ 17.768 ; $ 15.707 ; $ 7.082.826 
5552;DD0001;LINEA UNIVERSO;430;470;26/03/2026;No;0;470;HERNANDEZ RAMIREZ NATIA GINARY;10-abr-26;10-abr-26;TRANSFER;0;470;PANTALONETA PROMOCIO;DEPORTIVO;HOMBRE;PLANO; $ 39.990 ; $ 17.768 ; $ 15.707 ; $ 8.060.359 
